USER         PID %CPU %MEM    VSZ   RSS TTY      STAT START   TIME COMMAND
root          51  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/5:0H-events_highpri]
root          52  0.0  0.0      0     0 ?        S    12:33   0:00 [cpuhp/6]
root          53  0.0  0.0      0     0 ?        S    12:33   0:00 [idle_inject/6]
root          54  0.0  0.0      0     0 ?        S    12:33   0:00 [migration/6]
root          55  0.0  0.0      0     0 ?        S    12:33   0:00 [ksoftirqd/6]
root          57  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/6:0H-events_highpri]
root          58  0.0  0.0      0     0 ?        S    12:33   0:00 [cpuhp/7]
root          59  0.0  0.0      0     0 ?        S    12:33   0:00 [idle_inject/7]
root          60  0.0  0.0      0     0 ?        S    12:33   0:00 [migration/7]
root          61  0.0  0.0      0     0 ?        S    12:33   0:00 [ksoftirqd/7]
root          63  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/7:0H-events_highpri]
root          64  0.0  0.0      0     0 ?        S    12:33   0:00 [kdevtmpfs]
root          65  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-inet_frag_wq]
root          66  0.0  0.0      0     0 ?        I    12:33   0:00 [rcu_tasks_kthread]
root          67  0.0  0.0      0     0 ?        I    12:33   0:00 [rcu_tasks_rude_kthread]
root          68  0.0  0.0      0     0 ?        I    12:33   0:00 [rcu_tasks_trace_kthread]
root          69  0.0  0.0      0     0 ?        S    12:33   0:00 [kauditd]
root          70  0.0  0.0      0     0 ?        S    12:33   0:00 [oom_reaper]
root          72  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-writeback]
root          73  0.0  0.0      0     0 ?        S    12:33   0:00 [kcompactd0]
root          74  0.0  0.0      0     0 ?        SN   12:33   0:00 [ksmd]
root          75  0.0  0.0      0     0 ?        SN   12:33   0:00 [khugepaged]
root          76  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-kblockd]
root          77  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-blkcg_punt_bio]
root          78  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-kintegrityd]
root          80  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/9-acpi]
root          83  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-tpm_dev_wq]
root          84  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-ata_sff]
root          85  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-md]
root          86  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-md_bitmap]
root          87  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-edac-poller]
root          88  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-devfreq_wq]
root          89  0.0  0.0      0     0 ?        S    12:33   0:00 [watchdogd]
root          91  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-quota_events_unbound]
root          92  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/1:1H-kblockd]
root          94  0.4  0.0      0     0 ?        S    12:33   1:40 [kswapd0]
root          95  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-cryptd]
root          99  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-kthrotld]
root         101  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/120-aerdrv]
root         102  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/120-pcie-dpc]
root         103  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-acpi_thermal_pm]
root         104  0.0  0.0      0     0 ?        S    12:33   0:00 [hwrng]
root         110  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-dm_bufio_cache]
root         111  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-mld]
root         113  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-ipv6_addrconf]
root         114  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/4:1H-i915_cleanup]
root         116  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-kstrp]
root         196  0.0  0.0      0     0 ?        I<   12:33   0:01 [kworker/2:1H-kblockd]
root         197  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/0:1H-kblockd]
root         199  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/6:1H-kblockd]
root         242  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/7:1H-kblockd]
root         247  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/5:1H-kblockd]
root         251  0.0  0.0      0     0 ?        I<   12:33   0:01 [kworker/3:1H-i915_cleanup]
root         259  0.0  0.0      0     0 ?        S    12:33   0:00 [scsi_eh_0]
root         260  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-scsi_tmf_0]
root         387  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-vfio-irqfd-cleanup]
root         523  0.0  0.0      0     0 ?        S    12:33   0:07 [irq/53-ASUE1301:00]
root         531  0.0  0.0      0     0 ?        S    12:33   0:00 [spi0]
root         532  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-nvme-wq]
root         533  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-nvme-reset-wq]
root         534  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-nvme-delete-wq]
root         535  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-nvme-auth-wq]
root         541  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-ttm]
root         542  0.0  0.0      0     0 ?        S    12:33   0:00 [card1-crtc0]
root         543  0.0  0.0      0     0 ?        S    12:33   0:00 [card1-crtc1]
root         544  0.0  0.0      0     0 ?        S    12:33   0:00 [card1-crtc2]
root         568  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-worker]
root         569  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-delalloc]
root         570  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-flush_delalloc]
root         571  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-cache]
root         572  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-fixup]
root         573  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-endio]
root         574  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-endio-meta]
root         575  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-rmw]
root         576  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-endio-write]
root         577  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-compressed-write]
root         578  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-freespace-write]
root         579  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-delayed-meta]
root         580  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-btrfs-qgroup-rescan]
root         581  0.0  0.0      0     0 ?        S    12:33   0:00 [btrfs-cleaner]
root         582  0.0  0.0      0     0 ?        S    12:33   0:03 [btrfs-transaction]
root         666  0.0  0.0      0     0 ?        S    12:33   0:00 [psimon]
root         678  0.0  0.1 114536 11772 ?        Ss   12:33   0:01 /usr/lib/systemd/systemd-journald
root         705  0.0  0.0  16604  6240 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-userdbd
root         709  0.0  0.0  18280  6700 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-nsresourced
root         728  0.0  0.1  41748  8876 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-udevd
root         729  0.0  0.0      0     0 ?        S    12:33   0:00 [psimon]
root         822  0.0  0.0      0     0 ?        S    12:33   0:00 [jbd2/nvme0n1p2-8]
root         823  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-ext4-rsv-conversion]
root         889  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-cfg80211]
root         891  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/141-iwlwifi:default_queue]
root         892  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/142-iwlwifi:queue_1]
root         893  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/143-iwlwifi:queue_2]
root         894  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/144-iwlwifi:queue_3]
root         895  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/145-iwlwifi:queue_4]
root         899  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/146-iwlwifi:queue_5]
root         900  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-kmemstick]
root         902  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/147-iwlwifi:queue_6]
root         903  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/148-iwlwifi:queue_7]
root         904  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/149-iwlwifi:queue_8]
root         905  0.0  0.0      0     0 ?        S    12:33   0:00 [irq/150-iwlwifi:exception]
root         910  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-led_workqueue]
systemd+     962  0.0  0.0  17176  7320 ?        Ss   12:33   0:05 /usr/lib/systemd/systemd-oomd
systemd+     963  0.0  0.1  23988 13084 ?        Ss   12:33   0:01 /usr/lib/systemd/systemd-resolved
root         964  0.0  0.0  29220  2472 ?        S<sl 12:33   0:00 /usr/bin/auditd
root         966  0.0  0.0   6604  3452 ?        S<   12:33   0:00 /usr/sbin/sedispatch
dbus        1006  0.0  0.0  10180  4304 ?        Ss   12:33   0:00 /usr/bin/dbus-broker-launch --scope system --audit
root        1007  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-rpciod]
root        1008  0.0  0.0      0     0 ?        I<   12:33   0:00 [kworker/R-xprtiod]
dbus        1012  0.0  0.0   8812  4916 ?        S    12:33   0:02 dbus-broker --log 10 --controller 9 --machine-id 7f2a1611488c43cfac4629eff190977c --max-bytes 536870912 --max-fds 4096 --max-matches 131072 --audit
root        1013  0.5  0.1 657556 15396 ?        S<sl 12:33   2:10 /usr/bin/python3 /usr/bin/hhd
avahi       1015  0.0  0.0   6624  4248 ?        Ss   12:33   0:00 avahi-daemon: running [bazzite.local]
chrony      1018  0.0  0.0  86308  5900 ?        Ss   12:33   0:00 /usr/sbin/chronyd -n -F 2
root        1021  0.0  0.0 251996  4976 ?        Ss   12:33   0:00 /usr/bin/python3 /usr/bin/ds-inhibit
root        1023  0.0  0.1 457656 13476 ?        Ssl  12:33   0:01 /usr/bin/python3 /usr/bin/input-remapper-service
root        1026  0.0  0.0   3208  2108 ?        Ss   12:33   0:00 /usr/sbin/mcelog --daemon --foreground
polkitd     1031  0.0  0.1 384852 10628 ?        Ssl  12:33   0:06 /usr/lib/polkit-1/polkitd --no-debug --log-level=notice
rtkit       1032  0.0  0.0  21772  3284 ?        SNsl 12:33   0:00 /usr/libexec/rtkit-daemon
root        1033  0.0  0.0   9684  4900 ?        Ss   12:33   0:00 /usr/bin/smartd -n -q never --capabilities=mail
root        1034  0.0  0.0 531364  6568 ?        Ssl  12:33   0:00 /usr/libexec/switcheroo-control
root        1037  0.0  0.1  17376  8020 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-homed
root        1038  0.0  0.0  17248  7324 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-machined
root        1039  0.0  0.1 610668  9576 ?        Ssl  12:33   0:03 /usr/bin/thermald --systemd --dbus-enable --adaptive
root        1045  0.0  0.1 477336 10236 ?        Ssl  12:33   0:00 /usr/libexec/udisks2/udisksd
root        1049  0.0  0.1 542276  9776 ?        Ssl  12:33   0:01 /usr/libexec/upowerd
root        1072  0.0  0.0      0     0 ?        S    12:33   0:00 [psimon]
root        1102  0.0  0.0 534240  7704 ?        Ssl  12:33   0:00 /usr/libexec/accounts-daemon
root        1106  0.0  0.1  20132  9428 ?        Ss   12:33   0:00 /usr/lib/systemd/systemd-logind
avahi       1112  0.0  0.0   6492  1072 ?        S    12:33   0:00 avahi-daemon: chroot helper
root        1185  0.0  0.1 391380  8692 ?        Ssl  12:33   0:00 /usr/bin/ModemManager
root        1186  0.0  0.1 372320 15156 ?        Ssl  12:33   0:01 /usr/bin/python3 -sP /usr/bin/firewalld --nofork --nopid
root        1190  0.0  0.0   9252  4712 ?        Ss   12:33   0:00 /usr/libexec/bluetooth/bluetoothd
root        1207  0.0  0.0 301996  2008 ?        S    12:33   0:00 /usr/bin/python3 /usr/bin/input-remapper-service
root        1275  0.0  0.2 630208 16940 ?        Ssl  12:33   0:01 /usr/bin/NetworkManager --no-daemon
root        1286  0.0  0.0  17996  2112 ?        Ss   12:33   0:00 /usr/libexec/iwd
root        1407  0.0  0.1 252468  8964 ?        Ss   12:33   0:00 /usr/bin/cupsd -l
root        1412  0.0  0.0 282388  6780 ?        Ssl  12:33   0:00 /usr/bin/gssproxy -i
root        1415  0.0  0.1 502660 12880 ?        Ssl  12:33   0:02 /usr/bin/python3 -Es /usr/sbin/tuned -l -P
root        1563  0.0  0.2 501044 16020 ?        Ssl  12:33   0:02 /usr/bin/python3 -Es /usr/sbin/tuned-ppd -l
root        1595  0.0  0.1 382564 14160 ?        Ssl  12:33   0:00 /usr/bin/sddm
root        1606  0.0  0.0 306176  7048 ?        Ssl  12:33   0:00 /usr/libexec/uresourced
root        1761  0.0  0.0      0     0 ?        S<   12:33   0:00 [krfcommd]
root        1833  0.0  0.1 306772 13444 ?        S    12:33   0:00 /usr/libexec/sddm-helper --socket /tmp/sddm-auth-9971f2a4-947c-4f8b-9c4c-a85db42249b7 --id 1 --start /usr/libexec/plasma-dbus-run-session-if-needed /usr/bin/startplasma-wayland --user uzair
uzair       1839  0.0  0.1  24728 11940 ?        Ss   12:33   0:09 /usr/lib/systemd/systemd --user
uzair       1850  0.0  0.0  16820  1752 ?        S    12:33   0:00 (sd-pam)
uzair       1910  0.0  0.0   7432  4124 ?        Ss   12:33   0:00 /usr/bin/mpris-proxy
uzair       1924  0.0  0.0   8972  3848 ?        Ss   12:33   0:00 /usr/bin/dbus-broker-launch --scope user
uzair       1946  0.0  0.0   7340  4192 ?        S    12:33   0:01 dbus-broker --log 11 --controller 10 --machine-id 7f2a1611488c43cfac4629eff190977c --max-bytes 100000000000000 --max-fds 25000000000000 --max-matches 5000000000
uzair       1964  0.0  0.3 936744 28388 ?        SLl  12:33   0:00 /usr/bin/ksecretd --pam-login 13 14
uzair       1975  0.0  0.2 457984 20112 tty2     Ssl+ 12:33   0:00 /usr/bin/startplasma-wayland
uzair       2473  0.0  0.1 382976 12004 ?        Ssl  12:33   0:00 /usr/bin/kwin_wayland_wrapper --xwayland
uzair       2478  0.0  0.1 382024  8820 ?        Ssl  12:33   0:00 /usr/libexec/uresourced --user
uzair       2506  1.6  1.2 1827380 96880 ?       Sl   12:33   6:24 /usr/bin/kwin_wayland --wayland-fd 7 --socket wayland-0 --xwayland-fd 8 --xwayland-fd 9 --xwayland-display :0 --xwayland-xauthority /run/user/1000/xauth_LuatdT --xwayland
uzair       2513  3.8  3.2 269024356 256824 ?    SNsl 12:33  14:49 /usr/libexec/kf6/baloo_file
uzair       2518  0.0  0.1 539944  8732 ?        Ssl  12:33   0:00 /usr/libexec/gvfsd
uzair       2565  0.1  0.1 330540 10272 ?        S<sl 12:33   0:28 /usr/bin/pipewire
uzair       2570  0.0  0.2 940796 18552 ?        S<sl 12:33   0:02 /usr/bin/wireplumber
uzair       2587  0.0  0.1 1123772 14116 ?       Ssl  12:33   0:00 /usr/libexec/xdg-desktop-portal
uzair       2640  0.0  0.0 530840  6328 ?        Ssl  12:33   0:00 /usr/libexec/xdg-permission-store
uzair       2680  0.0  0.0 1052004 7720 ?        Ssl  12:33   0:00 /usr/libexec/xdg-document-portal
root        2717  0.0  0.0   2588  1976 ?        Ss   12:33   0:00 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
uzair       3028  0.0  0.1 385208 12364 ?        Ssl  12:33   0:00 /usr/libexec/knighttimed
uzair       3466  0.1  0.2 368936 19332 ?        Sl   12:33   0:23 /usr/bin/Xwayland :0 -auth /run/user/1000/xauth_LuatdT -listenfd 8 -listenfd 9 -displayfd 62 -wm 64 -rootless -enable-ei-portal
uzair       3613  0.0  0.0 380692  7276 ?        Ssl  12:33   0:00 /usr/libexec/at-spi-bus-launcher
uzair       3644  0.0  0.0   8972  3884 ?        S    12:33   0:00 /usr/bin/dbus-broker-launch --config-file=/usr/share/defaults/at-spi2/accessibility.conf --scope user
uzair       3654  0.0  0.0   5200  2944 ?        S    12:33   0:00 dbus-broker --log 10 --controller 9 --machine-id 7f2a1611488c43cfac4629eff190977c --max-bytes 100000000000000 --max-fds 6400000 --max-matches 5000000000
uzair       3733  0.0  0.3 841156 23728 ?        Ssl  12:33   0:00 /usr/bin/ksmserver
uzair       3738  0.0  0.7 1911636 60364 ?       Ssl  12:33   0:06 /usr/bin/kded6
uzair       3774  0.1  0.2 404236 16768 ?        S<Lsl 12:33   0:23 /usr/bin/pipewire-pulse
uzair       3776  0.2  4.2 5443100 334904 ?      Ssl  12:33   0:55 /usr/bin/plasmashell --no-respawn
uzair       3777  0.0  0.0 168428  7244 ?        Ssl  12:33   0:00 /usr/libexec/at-spi2-registryd --use-gnome-session
uzair       3819  0.0  0.0 163952  5984 ?        Ssl  12:33   0:00 /usr/libexec/dconf-service
uzair       3830  0.0  0.2 884904 20952 ?        Ssl  12:33   0:00 /usr/libexec/kactivitymanagerd
uzair       3874  0.0  0.1 459956 14380 ?        Ssl  12:34   0:00 /usr/bin/gmenudbusmenuproxy
uzair       3876  0.0  0.3 775896 23416 ?        Ssl  12:34   0:00 /usr/bin/kaccess
uzair       3877  0.0  0.3 1062636 24788 ?       Ssl  12:34   0:00 /usr/libexec/kf6/polkit-kde-authentication-agent-1
uzair       3880  0.0  0.3 1061752 27564 ?       Ssl  12:34   0:05 /usr/libexec/org_kde_powerdevil
uzair       3883  0.0  0.6 1579244 48104 ?       Ssl  12:34   0:06 /usr/libexec/xdg-desktop-portal-kde
uzair       3885  0.0  0.1 459380 14464 ?        Ssl  12:34   0:00 /usr/bin/xembedsniproxy
uzair       3886  0.0  0.0   8688  4432 ?        Ss   12:34   0:00 /usr/bin/ssh-agent -D
uzair       3896  0.0  0.0   7848  4280 ?        S    12:34   0:00 /usr/bin/xsettingsd
uzair       3897  0.0  0.0  47680  6020 ?        Ss   12:34   0:00 /usr/libexec/bluetooth/obexd
uzair       4112  0.0  0.3 1003120 28364 ?       Ssl  12:34   0:22 /usr/bin/kdeconnectd
uzair       4120  0.0  0.3 1079208 27996 ?       Ssl  12:34   0:01 /usr/bin/xwaylandvideobridge
uzair       4134  0.0  0.2 395060 16736 ?        Ssl  12:34   0:00 /usr/bin/kunifiedpush-distributor
uzair       4140  0.0  0.2 718080 18280 ?        Ssl  12:34   0:00 /usr/libexec/xdg-desktop-portal-gtk
uzair       4147  0.0  0.1 541772  8656 ?        Ssl  12:34   0:00 /usr/libexec/geoclue-2.0/demos/agent
uzair       4152  0.0  0.1 609252  8736 ?        Ssl  12:34   0:02 /usr/bin/ibus-daemon --panel=/usr/libexec/kimpanel-ibus-panel
uzair       4193  0.0  0.0 466456  7012 ?        Sl   12:34   0:00 /usr/libexec/ibus-dconf
uzair       4197  0.0  0.3 1266980 26088 ?       Sl   12:34   0:02 /usr/libexec/kimpanel-ibus-panel
uzair       4201  0.0  0.2 724484 18616 ?        Sl   12:34   0:10 /usr/libexec/ibus-extension-gtk3
uzair       4203  0.0  0.0 531940  7252 ?        Ssl  12:34   0:00 /usr/libexec/ibus-portal
uzair       4275  0.0  0.0 392616  7492 ?        Sl   12:34   0:00 /usr/libexec/ibus-engine-simple
uzair       6380  0.1  1.8 1461761104 143996 ?   Ssl  13:04   0:27 /usr/share/antigravity/antigravity
uzair       6383  0.0  0.6 34321148 47184 ?      S    13:04   0:00 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
uzair       6384  0.0  0.6 34321132 47160 ?      S    13:04   0:00 /usr/share/antigravity/antigravity --type=zygote
uzair       6386  0.0  0.0 34321164 4292 ?       S    13:04   0:00 /usr/share/antigravity/antigravity --type=zygote
uzair       6401  0.0  0.0 33567820 3104 ?       Sl   13:04   0:00 /usr/share/antigravity/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/uzair/.config/Antigravity/Crashpad --annotation=_companyName=Google --annotation=_productName=Antigravity --annotation=_version=1.104.0 --annotation=lsb-release=Bazzite --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=37.3.1 --initial-client-fd=44 --shared-client-connection
uzair       6421  0.2  0.8 34829164 63148 ?      Sl   13:04   0:43 /usr/share/antigravity/antigravity --type=zygote --no-zygote-sandbox
uzair       6430  0.0  0.8 34133488 68672 ?      Sl   13:04   0:01 /proc/self/exe --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=6401 --enable-crash-reporter=7c94313b-7b72-4391-9c67-8b0744821747,no_channel --user-data-dir=/home/uzair/.config/Antigravity --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,4423288106649023077,18153485747751570932,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
uzair       6492  0.0  1.0 1476870260 81348 ?    Sl   13:04   0:00 /usr/share/antigravity/antigravity --type=zygote
uzair       6602  0.0  1.1 1461580820 89684 ?    Sl   13:04   0:05 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=6401 --enable-crash-reporter=7c94313b-7b72-4391-9c67-8b0744821747,no_channel --user-data-dir=/home/uzair/.config/Antigravity --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,4423288106649023077,18153485747751570932,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
uzair       6644  0.0  1.1 1461544904 87452 ?    Sl   13:04   0:04 /proc/self/exe --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=6401 --enable-crash-reporter=7c94313b-7b72-4391-9c67-8b0744821747,no_channel --user-data-dir=/home/uzair/.config/Antigravity --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --code-cache-schemes=vscode-webview,vscode-file --shared-files=v8_context_snapshot_data:100 --field-trial-handle=3,i,4423288106649023077,18153485747751570932,262144 --enable-features=DocumentPolicyIncludeJSCallStacksInCrashReports,EarlyEstablishGpuChannel,EstablishGpuChannelAsync,PdfUseShowSaveFilePicker --disable-features=CalculateNativeWinOcclusion,FontationsLinuxSystemFonts,ScreenAIOCREnabled,SpareRendererForSitePerProcess --variations-seed-version
root        7421  0.0  0.0 469924  7508 ?        Ssl  13:04   0:00 /usr/bin/pcscd --foreground --auto-exit
uzair       7502  0.0  0.3 1070908 29260 ?       SLsl 13:04   0:00 /usr/bin/kwalletd6
